基金代码,状态,基金经理姓名,基金经理简介,托管费率,最高申购费率,最高认购费率,最高赎回费率,状态_费率,管理费率,销售服务费率,业绩比较基准,份额规模,发行日期,基金全称,基金托管人,基金简称,基金管理人,基金类型,基金经理人,成立日期/规模,成立来分红,资产规模,跟踪标的
011604（前端）基金类型混合型-偏股,成功,徐立人,"徐立人先生:中国国籍,硕士研究生学历、硕士学位。曾就职于国金证券股份有限公司上海投资咨询分公司任研究员。2019年10月加入兴业基金管理有限公司研究部担任行业研究员。现任兴业高端制造混合型证券投资基金基金经理。",0.15%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.50%（每年）,中证高端装备制造指数收益率*75%+中债综合全价指数收益率*25%,0.3833亿份（截止至：2025年06月30日）,2021年03月11日,兴业高端制造混合型证券投资基金,兴业证券,兴业高端制造混合C,兴业基金,混合型-偏股,徐立人,2021年03月24日 / 2.559亿份,每份累计0.00元（0次）,0.29亿元（截止至：2025年06月30日）份额规模0.3833亿份（截止至：2025年06月30日）,该基金无跟踪标的
015486（前端）基金类型混合型-偏股,成功,神爱前,"神爱前先生:厦门大学财政学硕士,曾任第一创业证券研究所行业研究员、民生证券研究所高级研究员、第一创业证券资产管理部高级研究员,2014年12月加入平安大华基金管理公司,任投资研究部高级研究员,现担任平安策略先锋混合型证券投资基金(2016-07-19至今)基金经理。2019年12年25日任平安转型创新灵活配置混合型证券投资基金基金经理。2021年5月26日起至2022年6月23日任平安医疗健康灵活配置混合型证券投资基金基金经理。2021年12月29日起任平安品质优选混合型证券投资基金基金经理。2022年1月25日任平安兴奕成长1年持有期混合型证券投资基金基金经理。2023年1月17日任平安策略优选1年持有期混合型证券投资基金基金经理。现任平安产业趋势混合型证券投资基金基金经理。曾担任安策略回报混合型证券投资基金基金经理。",0.20%（每年）,0.00%（前端）,0.00%（前端）,0.00%（前端）,,1.20%（每年）,0.80%（每年）,中证800指数收益率*70%+中证全债指数收益率*25%+恒生指数收益率(经汇率调整)*5%,4.4725亿份（截止至：2025年06月30日）,2022年12月26日,平安策略优选1年持有期混合型证券投资基金,平安银行,平安策略优选1年持有混合C,平安基金,混合型-偏股,神爱前,2023年01月17日 / 13.167亿份,每份累计0.00元（0次）,3.58亿元（截止至：2025年06月30日）份额规模4.4725亿份（截止至：2025年06月30日）,该基金无跟踪标的
020662（前端）基金类型混合型-偏股,成功,李宁宁,"李宁宁女士:中国国籍,硕士,北京外国语大学金融学硕士,2017年7月至2020年3月,任北京永瑞私募基金管理有限公司大消费研究员,2020年3月加入中加基金管理有限公司。2023年6月30日担任中加科盈混合型证券投资基金。2023年6月30日至2024年7月12日担任中加聚隆六个月持有期混合型证券投资基金基金经理。曾任中加聚庆六个月定期开放混合型证券投资基金的基金经理。",0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,中国战略新兴产业成份指数收益率*75%+中证港股通综合指数(人民币)收益率*5%+1年期定期存款利率(税后)*20%,0.0177亿份（截止至：2025年06月30日）,2024年03月04日,中加科技创新混合型发起式证券投资基金,招商银行,中加科技创新混合发起式C,中加基金,混合型-偏股,李宁宁,2024年03月12日 / 0.106亿份,每份累计0.00元（0次）,0.02亿元（截止至：2025年06月30日）份额规模0.0177亿份（截止至：2025年06月30日）,该基金无跟踪标的
110002（前端）基金类型混合型-偏股,成功,张琦,张琦先生:工学博士。现任易方达基金管理有限公司基金经理。曾任易方达基金管理有限公司投资经理、行业研究员。,0.20%（每年）,,1.00%（前端）,,,1.20%（每年）,---（每年）,上证A指收益率×75% + 上证国债指数收益率×25%,2.2638亿份（截止至：2025年06月30日）,2003年10月30日,易方达策略成长证券投资基金,中国银行,易方达策略成长混合,易方达基金,混合型-偏股,张琦,2003年12月09日 / 20.351亿份,每份累计2.08元（53次）,7.82亿元（截止至：2025年06月30日）份额规模2.2638亿份（截止至：2025年06月30日）,该基金无跟踪标的
018933（前端）基金类型混合型-偏股,成功,代毅,"代毅先生:研究生,硕士,中国国籍。2010年7月加入长盛基金管理有限公司研究部,曾任行业研究员、基金经理助理等职务。现任长盛城镇化主题混合型证券投资基金基金经理。曾任长盛动态精选证券投资基金基金经理。2020年4月21日起担任长盛国企改革主题灵活配置混合型证券投资基金基金经理。2019年05月22日至2020年05月27日任长盛同盛成长优选灵活配置混合型证券投资基金(LOF)基金经理。曾任长盛生态环境主题灵活配置混合型证券投资基金基金经理。",0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,沪深300指数收益率*80%+中证综合债指数收益率*20%,0.6954亿份（截止至：2025年09月30日）,2013年10月14日,长盛城镇化主题混合型证券投资基金,中国银行,长盛城镇化主题混合C,长盛基金,混合型-偏股,代毅,2023年07月24日 / --,每份累计0.00元（0次）,1.87亿元（截止至：2025年09月30日）份额规模0.6954亿份（截止至：2025年09月30日）,该基金无跟踪标的
001125（前端）基金类型混合型-灵活,成功,郭晓林,"郭晓林先生:研究生、硕士,2012-至今博时基金,历任研究员、高级研究员、高级研究员兼基金经理助理、资深研究员兼基金经理助理、资深研究员兼投资经理。现任博时互联网主题灵活配置混合型证券投资基金(2016年7月20日—至今)、博时创业板两年定期开放混合型证券投资基金(2020年9月3日—至今)的基金经理、博时新能源主题混合型证券投资基金(2021年8月24日—至今)、博时移动互联主题混合型证券投资基金(2021年9月29日—至今)的基金经理。2022年4月6日起至2023年12月11日担任博时凤凰领航混合型证券投资基金的基金经理。2020年2月20日至2023年8月22日担任博时汇悦回报混合型证券投资基金基金经理。2021年6月2日至2024年6月27日任博时新能源汽车主题混合型证券投资基金的基金经理。",0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,---（每年）,沪深300指数收益率*60%+上证国债指数收益率*40%,3.108亿份（截止至：2025年06月30日）,2015年04月16日,博时互联网主题灵活配置混合型证券投资基金,建设银行,博时互联网主题灵活配置混合,博时基金,混合型-灵活,郭晓林,2015年04月28日 / 39.106亿份,每份累计0.00元（0次）,3.65亿元（截止至：2025年06月30日）份额规模3.108亿份（截止至：2025年06月30日）,该基金无跟踪标的
020900（前端）基金类型指数型-股票,成功,张戈,"张戈先生:管理科学与工程专业博士。2013年7月至2021年5月任建信基金管理有限责任公司研究员、投资经理;2021年5月至2022年8月任大家保险资产管理公司投资经理;2022年9月加盟天弘基金管理有限公司,现任基金经理、基金经理助理。现任天弘中证全指通信设备指数型发起式证券投资基金基金经理、天弘中证软件服务指数型发起式证券投资基金基金经理、天弘北证50成份指数型发起式证券投资基金基金经理、天弘上证180交易型开放式指数证券投资基金基金经理、天弘上证科创板综合交易型开放式指数证券投资基金基金经理、天弘上证180交易型开放式指数证券投资基金发起式联接基金基金经理、天弘上证科创板综合交易型开放式指数证券投资基金联接基金基金经理。2025年10月11日起任天弘中证科创创业50交易型开放式指数证券投资基金基金经理。曾任天弘上证科创板100指数增强型发起式证券投资基金基金经理。2025年10月11日起任天弘中证科创创业50交易型开放式指数证券投资基金联接基金、天弘上证科创板50成份指数型发起式证券投资基金基金经理。",0.05%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.45%（每年）,0.20%（每年）,中证全指通信设备指数收益率*95%+银行活期存款利率(税后)*5%,0.3351亿份（截止至：2025年06月30日）,2024年04月11日,天弘中证全指通信设备指数型发起式证券投资基金,交通银行,天弘中证全指通信设备指数发起C,天弘基金,指数型-股票,张戈,2024年04月15日 / 0.104亿份,每份累计0.00元（0次）,0.42亿元（截止至：2025年06月30日）份额规模0.3351亿份（截止至：2025年06月30日）,中证全指通信设备指数
050009（前端）基金类型混合型-偏股,成功,曾鹏,曾鹏先生:硕士。2005年起先后在上投摩根基金、嘉实基金从事研究、投资工作。2012年加入博时基金管理有限公司。历任投资经理、博时灵活配置混合型证券投资基金(2015年2月9日-2016年4月25日)基金经理、权益投资主题组负责人、权益投资总部一体化投研总监。现任公司董事总经理兼权益投研一体化总监、权益投资四部总经理、权益投资四部投资总监、境外投资部总经理、博时新兴成长混合型证券投资基金(2013年1月18日—至今)、博时特许价值混合型证券投资基金(2018年6月21日—至今)、博时科创主题灵活配置混合型证券投资基金(LOF)(2019年6月27日—2024年7月3日)、博时科技创新混合型证券投资基金(2020年4月15日—2024年7月3日)、博时新兴消费主题混合型证券投资基金(2021年1月20日—2024年7月3日)、博时沪港深优质企业灵活配置混合型证券投资基金(2021年1月20日—至今)、2021年2月9日至2022年7月9日任博时港股通领先趋势混合型证券投资基金基金经理、博时半导体主题混合型证券投资基金(2021年7月20日—至今)、博时消费创新混合型证券投资基金(2021年11月8日—2024年7月3日)的基金经理。2022年6月29日起担任博时军工主题股票型证券投资基金基金经理。曾任博时时代领航混合型证券投资基金基金经理。,0.20%（每年）,,1.50%（前端）,,,1.20%（每年）,---（每年）,沪深300指数收益率×80%+中国债券总指数收益率×20%,19.0598亿份（截止至：2025年06月30日）,2007年07月19日,博时新兴成长混合型证券投资基金,交通银行,博时新兴成长混合,博时基金,混合型-偏股,曾鹏,2007年07月06日 / 5.000亿份,每份累计0.15元（1次）,19.14亿元（截止至：2025年06月30日）份额规模19.0598亿份（截止至：2025年06月30日）,该基金无跟踪标的
011937（前端）基金类型混合型-偏股,成功,代瑞亮,"代瑞亮先生:硕士,研究生,2010年7月加入华夏基金管理有限公司,曾任研究员、基金经理助理等,现任股票投资部高级副总裁。2020年6月18日担任华夏产业升级混合型证券投资基金基金经理。2015年7月9日至2020年6月23日担任华夏盛世精选混合型证券投资基金基金经理。2016年5月11日至2018年1月17日担任华夏高端制造灵活配置混合型证券投资基金基金经理。2015年3月17日至2017年2月24日担任华夏回报二号证券投资基金、华夏回报证券投资基金基金经理。2024年1月24日担任华夏阿尔法精选混合型证券投资基金基金经理。",0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.70%（每年）,中证800指数收益率*60%+中证港股通综合指数收益率*20%+中债综合指数收益率*20%,1.7765亿份（截止至：2025年06月30日）,2021年08月04日,华夏阿尔法精选混合型证券投资基金,中国银行,华夏阿尔法精选混合C,华夏基金,混合型-偏股,代瑞亮,2021年08月19日 / 6.576亿份,每份累计0.00元（0次）,1.32亿元（截止至：2025年06月30日）份额规模1.7765亿份（截止至：2025年06月30日）,该基金无跟踪标的
010391（前端）基金类型股票型,成功,欧阳良琦,"欧阳良琦先生:中国国籍,工学博士。现任易方达基金管理有限公司基金经理。曾任易方达基金管理有限公司行业研究员。2023年5月6日任易方达战略新兴产业股票型证券投资基金基金经理。2025年4月12日任易方达中盘成长混合型证券投资基金基金经理。",0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中国战略新兴产业成份指数收益率*60%+中证港股通综合指数收益率*25%+中债总指数收益率*15%,36.8194亿份（截止至：2025年06月30日）,2021年01月11日,易方达战略新兴产业股票型证券投资基金,中国银行,易方达战略新兴产业股票A,易方达基金,股票型,欧阳良琦,2021年01月13日 / 99.016亿份,每份累计0.00元（0次）,34.62亿元（截止至：2025年06月30日）份额规模36.8194亿份（截止至：2025年06月30日）,该基金无跟踪标的
001105（前端）基金类型股票型,成功,朱然,"朱然先生:中国国籍,北京大学工学硕士,曾任甲骨文(中国)IT工程师,广发证券(香港)海外市场TMT行业分析师,红土创新基金研究员、基金经理和投资副总监。2021年8月加入信达澳亚基金权益投资部。现任信澳转型创新股票基金基金经理(2021年12月20日起至今)、信澳智选先锋一年持有期混合基金基金经理(2022年6月14日起至今)、信澳匠心臻选两年持有期混合基金的基金经理(2022年8月16日起至今)、信澳汇智优选一年持有期混合型证券投资基金基金经理(2022年11月22日起至今)。2025年8月14日担任信澳新能源精选混合型证券投资基金基金经理。",0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*85%+上证国债指数收益率*15%,1.826亿份（截止至：2025年06月30日）,2015年03月19日,信澳转型创新股票型证券投资基金,建设银行,信澳转型创新股票A,信达澳亚基金,股票型,朱然,2015年04月15日 / 28.635亿份,每份累计0.00元（0次）,1.69亿元（截止至：2025年06月30日）份额规模1.826亿份（截止至：2025年06月30日）,该基金无跟踪标的
