基金代码,状态,托管费率,最高申购费率,最高认购费率,最高赎回费率,状态_费率,管理费率,销售服务费率,业绩比较基准,份额规模,发行日期,基金全称,基金托管人,基金简称,基金管理人,基金类型,基金经理人,成立日期/规模,成立来分红,状态_概况,资产规模,跟踪标的
011205（前端）基金类型指数型-股票,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.80%（每年）,0.20%（每年）,中证500指数收益率×95%+银行活期存款利率(税后)×5%,0.4948亿份（截止至：2025年06月30日）,2021年01月25日,兴银中证500指数增强型证券投资基金,浙商银行,兴银中证500指数增强C,兴银基金管理,指数型-股票,翁子晨,2021年03月01日 / 2.640亿份,每份累计0.00元（0次）,,0.47亿元（截止至：2025年06月30日）份额规模0.4948亿份（截止至：2025年06月30日）,中证500指数
001448（前端）基金类型混合型-偏债,成功,0.20%（每年）,,1.00%（前端）,,,0.60%（每年）,0.00%（每年）,中债综合全价(总值)指数收益率*60%+沪深300指数收益率*40%,0.2575亿份（截止至：2025年06月30日）,2015年06月12日,华商双翼平衡混合型证券投资基金,建设银行,华商双翼平衡混合A,华商基金,混合型-偏债,胡中原,2015年06月16日 / 4.335亿份,每份累计0.00元（0次）,,0.51亿元（截止至：2025年06月30日）份额规模0.2575亿份（截止至：2025年06月30日）,该基金无跟踪标的
009910（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.80%（每年）,中证800指数收益率×70%+恒生指数收益率×10%+中债综合财富指数收益率×20%,2.6463亿份（截止至：2025年06月30日）,2020年11月18日,嘉实动力先锋混合型证券投资基金,民生银行,嘉实动力先锋混合C,嘉实基金,混合型-偏股,姚志鹏、邓云龙,2020年11月23日 / 79.198亿份,每份累计0.00元（0次）,,2.07亿元（截止至：2025年06月30日）份额规模2.6463亿份（截止至：2025年06月30日）,该基金无跟踪标的
021225（前端）基金类型指数型-股票,成功,0.08%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.30%（每年）,0.20%（每年）,上证科创板芯片指数收益率*95%+人民币银行活期存款利率(税后)*5%,0.9839亿份（截止至：2025年06月30日）,2024年08月12日,华宝上证科创板芯片指数型发起式证券投资基金,招商银行,华宝上证科创板芯片指数发起C,华宝基金,指数型-股票,陈建华,2024年08月27日 / 0.918亿份,每份累计0.00元（0次）,,1.64亿元（截止至：2025年06月30日）份额规模0.9839亿份（截止至：2025年06月30日）,上证科创板芯片指数
006768（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,---（每年）,10%×沪深300指数收益率+50%×恒生指数收益率+40%×中国债券总指数收益率,0.5504亿份（截止至：2025年06月30日）,2019年02月20日,华安沪港深优选混合型证券投资基金,农业银行,华安沪港深优选混合,华安基金,混合型-偏股,盛骅、陆秋渊,2019年03月25日 / 6.755亿份,每份累计0.00元（0次）,,0.61亿元（截止至：2025年06月30日）份额规模0.5504亿份（截止至：2025年06月30日）,该基金无跟踪标的
019426（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,中证数字经济主题指数收益率*60%+恒生指数收益率(经人民币汇率折算)*20%+中债综合全价(总值)指数收益率*20%,0.0461亿份（截止至：2025年06月30日）,2024年01月24日,中银数字经济混合型证券投资基金,交通银行,中银数字经济混合A,中银基金,混合型-偏股,杨雷,2024年04月25日 / 2.435亿份,每份累计0.00元（0次）,,0.05亿元（截止至：2025年06月30日）份额规模0.0461亿份（截止至：2025年06月30日）,该基金无跟踪标的
012500（前端）基金类型混合型-灵活,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*45%+中证港股通综合指数(CNY)收益率*15%+中债综合财富(总值)指数收益率*40%,4.304亿份（截止至：2025年06月30日）,2021年06月01日,博时汇荣回报灵活配置混合型证券投资基金,招商银行,博时汇荣回报混合A,博时基金,混合型-灵活,吴渭,2021年08月24日 / 9.168亿份,每份累计0.00元（0次）,,3.55亿元（截止至：2025年06月30日）份额规模4.304亿份（截止至：2025年06月30日）,该基金无跟踪标的
008585（前端）基金类型指数型-股票,成功,0.10%（每年）,,1.00%（前端）天天基金优惠费率：0.10%（前端）,,,0.50%（每年）,0.00%（每年）,中证人工智能主题指数收益率*95%+人民币活期存款税后利率*5%,12.3225亿份（截止至：2025年06月30日）,2020年05月15日,华夏中证人工智能主题交易型开放式指数证券投资基金发起式联接基金,中国银行,华夏人工智能ETF联接A,华夏基金,指数型-股票,李俊,2020年06月16日 / 8.640亿份,每份累计0.00元（0次）,,11.33亿元（截止至：2025年06月30日）份额规模12.3225亿份（截止至：2025年06月30日）,中证人工智能主题指数
012733（前端）基金类型指数型-股票,成功,0.05%（每年）,,0.50%（前端）,,,0.15%（每年）,0.00%（每年）,中证人工智能主题指数收益率*95%+活期存款利率(税后)*5%,15.6287亿份（截止至：2025年06月30日）,2021年11月26日,易方达中证人工智能主题交易型开放式指数证券投资基金联接基金,工商银行,易方达中证人工智能主题ETF联接A,易方达基金,指数型-股票,张湛,2022年03月01日 / 2.289亿份,每份累计0.00元（0次）,,18.01亿元（截止至：2025年06月30日）份额规模15.6287亿份（截止至：2025年06月30日）,中证人工智能主题指数
011630（前端）基金类型指数型-股票,成功,0.10%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,中证有色金属指数收益率*95%+银行活期存款利率(税后)*5%,0.699亿份（截止至：2025年06月30日）,2021年03月01日,西藏东财中证有色金属指数增强型发起式证券投资基金,招商证券,东财有色增强A,东财基金,指数型-股票,杨路炜,2021年03月16日 / 1.429亿份,每份累计0.00元（0次）,,0.93亿元（截止至：2025年06月30日）份额规模0.699亿份（截止至：2025年06月30日）,中证有色金属指数
014754（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证800指数收益率*65%+中证港股通综合指数收益率*15%+中债综合全价指数收益率*20%,3.3121亿份（截止至：2025年06月30日）,2022年05月09日,华安景气优选混合型证券投资基金,招商银行,华安景气优选混合A,华安基金,混合型-偏股,胡宜斌,2022年06月02日 / 9.480亿份,每份累计0.00元（0次）,,3.50亿元（截止至：2025年06月30日）份额规模3.3121亿份（截止至：2025年06月30日）,该基金无跟踪标的
020384（前端）基金类型混合型-灵活,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,中证800指数收益率*65%+中证综合债指数收益率*35%,1.0622亿份（截止至：2025年09月30日）,2023年12月18日,金信转型创新成长灵活配置混合型发起式证券投资基金,招商银行,金信转型创新成长混合发起式C,金信基金,混合型-灵活,杨超、黄飙,2023年12月20日 / --,每份累计0.37元（2次）,,3.04亿元（截止至：2025年09月30日）份额规模1.0622亿份（截止至：2025年09月30日）,该基金无跟踪标的
002861（前端）基金类型股票型,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证高端装备制造指数收益率*85%+中债综合财富(总值)指数收益率*15%,1.2759亿份（截止至：2025年06月30日）,2017年04月24日,工银瑞信智能制造股票型证券投资基金,建设银行,工银智能制造股票A,工银瑞信基金,股票型,李劭钊,2017年06月21日 / 3.837亿份,每份累计0.00元（0次）,,2.12亿元（截止至：2025年06月30日）份额规模1.2759亿份（截止至：2025年06月30日）,该基金无跟踪标的
010026（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,80%*沪深300指数+20%*中证全债指数,0.176亿份（截止至：2025年06月30日）,2009年05月13日,广发聚瑞混合型证券投资基金,工商银行,广发聚瑞混合C,广发基金,混合型-偏股,费逸,2020年09月25日 / --,每份累计0.00元（0次）,,0.65亿元（截止至：2025年06月30日）份额规模0.176亿份（截止至：2025年06月30日）,该基金无跟踪标的
018240（前端）基金类型股票型,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证智能制造主题指数收益率*40%+中证机器人指数收益率*30%+恒生指数收益率*10%+中债综合财富指数收益率*20%,0.2547亿份（截止至：2025年06月30日）,2023年07月03日,嘉实制造升级股票型发起式证券投资基金,中信银行,嘉实制造升级股票发起式A,嘉实基金,股票型,孟夏,2023年07月25日 / 0.162亿份,每份累计0.00元（0次）,,0.32亿元（截止至：2025年06月30日）份额规模0.2547亿份（截止至：2025年06月30日）,该基金无跟踪标的
000541（前端）基金类型混合型-灵活,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*55%+上证国债指数收益率*45%,3.2275亿份（截止至：2025年06月30日）,2014年02月17日,华商创新成长灵活配置混合型发起式证券投资基金,工商银行,华商创新成长混合发起式A,华商基金,混合型-灵活,厉骞,2014年03月18日 / 13.299亿份,每份累计0.26元（3次）,,7.24亿元（截止至：2025年06月30日）份额规模3.2275亿份（截止至：2025年06月30日）,该基金无跟踪标的
010371（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证500指数收益率×70%+恒生指数收益率×10%+中债综合全价指数收益率×20%,4.541亿份（截止至：2025年06月30日）,2020年11月11日,大成成长进取混合型证券投资基金,农业银行,大成成长进取混合A,大成基金,混合型-偏股,杜聪,2020年11月30日 / 22.760亿份,每份累计0.00元（0次）,,5.40亿元（截止至：2025年06月30日）份额规模4.541亿份（截止至：2025年06月30日）,该基金无跟踪标的
013314（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.10%（每年）,中证科创创业50指数收益率*95%+银行活期存款利率(税后)*5%,2.9794亿份（截止至：2025年06月30日）,2021年08月09日,富国中证科创创业50交易型开放式指数证券投资基金联接基金,建设银行,富国中证科创创业50ETF联接C,富国基金,指数型-股票,曹璐迪,2021年08月24日 / 5.112亿份,每份累计0.00元（0次）,,2.02亿元（截止至：2025年06月30日）份额规模2.9794亿份（截止至：2025年06月30日）,中证科创创业50指数
015170（前端）基金类型股票型,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.50%（每年）,沪深300指数收益率*85%+中债总指数收益率*15%,0.3139亿份（截止至：2025年06月30日）,2022年02月18日,摩根核心成长股票型证券投资基金,中国银行,摩根核心成长股票C,摩根基金(中国),股票型,李博,2022年02月23日 / --,每份累计0.00元（0次）,,0.74亿元（截止至：2025年06月30日）份额规模0.3139亿份（截止至：2025年06月30日）,该基金无跟踪标的
015381（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证800指数收益率*60%+恒生指数收益率(使用估值汇率调整)*10%+中债综合全价指数收益率*30%,0.2173亿份（截止至：2025年06月30日）,2022年08月01日,东方兴瑞趋势领航混合型证券投资基金,兴业银行,东方兴瑞趋势领航混合A,东方基金,混合型-偏股,许文波、刘文哲,2022年08月16日 / 2.621亿份,每份累计0.05元（1次）,,0.22亿元（截止至：2025年06月30日）份额规模0.2173亿份（截止至：2025年06月30日）,该基金无跟踪标的
019598（前端）基金类型指数型-股票,成功,0.10%（每年）,,1.00%（前端）,,,0.50%（每年）,0.00%（每年）,中证港股通医药卫生综合指数(经汇率调整)收益率*95%+银行活期存款利率(税后)*5%,0.1491亿份（截止至：2025年06月30日）,2023年10月16日,平安中证港股通医药卫生综合交易型开放式指数证券投资基金联接基金,中信建投,平安中证港股医药ETF联接A,平安基金,指数型-股票,翁欣,2023年10月31日 / 3.531亿份,每份累计0.00元（0次）,,0.16亿元（截止至：2025年06月30日）份额规模0.1491亿份（截止至：2025年06月30日）,中证港股通医药卫生综合港元指数
013958（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*70%+中证全债指数收益率*20%+中证港股通综合指数收益率*10%,1.7337亿份（截止至：2025年06月30日）,2022年02月28日,华商鑫选回报一年持有期混合型证券投资基金,建设银行,华商鑫选回报一年持有混合A,华商基金,混合型-偏股,张文龙,2022年05月31日 / 5.821亿份,每份累计0.00元（0次）,,2.44亿元（截止至：2025年06月30日）份额规模1.7337亿份（截止至：2025年06月30日）,该基金无跟踪标的
008950（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.80%（每年）,沪深300指数收益率×75%+中证全债指数收益率×25%,1.8014亿份（截止至：2025年09月30日）,2020年02月03日,平安匠心优选混合型证券投资基金,中国银行,平安匠心优选混合C,平安基金,混合型-偏股,张淼,2020年02月21日 / 53.447亿份,每份累计0.24元（1次）,,2.71亿元（截止至：2025年09月30日）份额规模1.8014亿份（截止至：2025年09月30日）,该基金无跟踪标的
003304（前端）基金类型混合型-灵活,成功,0.10%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,0.60%（每年）,0.00%（每年）,沪深300指数收益率×70%+中证全债指数收益率×30%,0.8337亿份（截止至：2025年06月30日）,2016年09月06日,前海开源沪港深核心资源灵活配置混合型证券投资基金,交通银行,前海开源沪港深核心资源混合A,前海开源基金,混合型-灵活,吴国清,2016年10月17日 / 2.603亿份,每份累计0.03元（1次）,,2.89亿元（截止至：2025年06月30日）份额规模0.8337亿份（截止至：2025年06月30日）,该基金无跟踪标的
007469（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,沪深300指数收益率*70%+中证综合债指数收益率*30%,1.0838亿份（截止至：2025年06月30日）,2019年11月05日,中信建投策略精选混合型证券投资基金,工商银行,中信建投精选混合C,中信建投基金,混合型-偏股,栾江伟,2019年11月29日 / 3.495亿份,每份累计0.00元（0次）,,2.27亿元（截止至：2025年06月30日）份额规模1.0838亿份（截止至：2025年06月30日）,该基金无跟踪标的
001313（前端）基金类型股票型,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证TMT产业主题指数收益率*85%+银行活期存款利率(税后)*15%,5.2153亿份（截止至：2025年06月30日）,2015年05月25日,摩根智慧互联股票型证券投资基金,工商银行,摩根智慧互联股票A,摩根基金(中国),股票型,李德辉,2015年06月09日 / 34.585亿份,每份累计0.00元（0次）,,4.61亿元（截止至：2025年06月30日）份额规模5.2153亿份（截止至：2025年06月30日）,该基金无跟踪标的
016400（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,沪深300指数收益率*80%+上证国债指数收益率*20%,0.0013亿份（截止至：2025年06月30日）,2022年08月08日,摩根智选30混合型证券投资基金,建设银行,摩根智选30混合C,摩根基金(中国),混合型-偏股,李德辉,2022年08月10日 / --,每份累计0.00元（0次）,,0.00亿元（截止至：2025年06月30日）份额规模0.0013亿份（截止至：2025年06月30日）,该基金无跟踪标的
016503（前端）基金类型混合型-偏股,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,中证全指主要消费指数收益率*70%+中证港股通综合指数收益率(人民币)*10%+中债-综合指数(全价)收益率*20%,1.7171亿份（截止至：2025年06月30日）,2022年11月29日,永赢新兴消费智选混合型发起式证券投资基金,中信银行,永赢新兴消费智选混合发起C,永赢基金,混合型-偏股,蒋卫华,2022年12月08日 / 0.103亿份,每份累计0.00元（0次）,,1.79亿元（截止至：2025年06月30日）份额规模1.7171亿份（截止至：2025年06月30日）,该基金无跟踪标的
020661（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,中国战略新兴产业成份指数收益率*75%+中证港股通综合指数(人民币)收益率*5%+1年期定期存款利率(税后)*20%,0.1273亿份（截止至：2025年06月30日）,2024年03月04日,中加科技创新混合型发起式证券投资基金,招商银行,中加科技创新混合发起式A,中加基金,混合型-偏股,李宁宁,2024年03月12日 / 0.106亿份,每份累计0.00元（0次）,,0.15亿元（截止至：2025年06月30日）份额规模0.1273亿份（截止至：2025年06月30日）,该基金无跟踪标的
015440（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证800指数收益率*90%+中证港股通综合指数收益率*5%+银行活期存款利率(税后)*5%,1.7552亿份（截止至：2025年06月30日）,2022年05月23日,信澳智选先锋一年持有期混合型证券投资基金,建设银行,信澳智选先锋一年持有期混合A,信达澳亚基金,混合型-偏股,朱然、郭敏,2022年06月14日 / 3.517亿份,每份累计0.00元（0次）,,1.49亿元（截止至：2025年06月30日）份额规模1.7552亿份（截止至：2025年06月30日）,该基金无跟踪标的
017485（前端）基金类型混合型-灵活,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,上证高端装备60指数收益率*50%+中证综合债指数收益率*50%,1.8108亿份（截止至：2025年09月30日）,2014年02月24日,长盛高端装备制造灵活配置混合型证券投资基金,中国银行,长盛高端装备混合C,长盛基金,混合型-灵活,王远鸿,2022年12月01日 / --,每份累计0.49元（1次）,,8.60亿元（截止至：2025年09月30日）份额规模1.8108亿份（截止至：2025年09月30日）,该基金无跟踪标的
011583（前端）基金类型QDII-混合偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,恒生指数收益率(使用估值汇率折算)*70%+中证综合债指数收益率*30%,3.2533亿份（截止至：2025年06月30日）,2021年04月15日,大成港股精选混合型证券投资基金(QDII),工商银行,大成港股精选混合(QDII)A,大成基金,QDII-混合偏股,柏杨,2021年05月06日 / 4.941亿份,每份累计0.00元（0次）,,3.50亿元（截止至：2025年06月30日）份额规模3.2533亿份（截止至：2025年06月30日）,该基金无跟踪标的
017829（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,中证500指数收益率*55%+恒生指数收益率(使用汇率估值折算)*25%+中债综合全价指数收益率*20%,1.2474亿份（截止至：2025年06月30日）,2023年03月06日,富国时代精选混合型证券投资基金,招商银行,富国时代精选混合C,富国基金,混合型-偏股,许炎,2023年03月28日 / 12.453亿份,每份累计0.00元（0次）,,1.32亿元（截止至：2025年06月30日）份额规模1.2474亿份（截止至：2025年06月30日）,该基金无跟踪标的
009993（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,---（每年）,中证800指数收益率×60%+恒生指数收益率×20%+中债综合财富指数收益率×20%,11.9569亿份（截止至：2025年06月30日）,2020年09月09日,嘉实前沿创新混合型证券投资基金,招商银行,嘉实前沿创新混合,嘉实基金,混合型-偏股,王贵重、何鸣晓,2020年09月14日 / 46.317亿份,每份累计0.00元（0次）,,12.99亿元（截止至：2025年06月30日）份额规模11.9569亿份（截止至：2025年06月30日）,该基金无跟踪标的
110029（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.50%（前端）,,,1.20%（每年）,---（每年）,沪深300指数收益率×80% + 中债总指数收益率×20%,23.2886亿份（截止至：2025年06月30日）,2007年12月24日,易方达科讯混合型证券投资基金,交通银行,易方达科讯混合,易方达基金,混合型-偏股,刘健维,2007年12月18日 / 8.000亿份,每份累计0.55元（12次）,,38.49亿元（截止至：2025年06月30日）份额规模23.2886亿份（截止至：2025年06月30日）,该基金无跟踪标的
008284（前端）基金类型QDII-混合偏股,成功,0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,申万医药生物行业指数收益率*45%+标普全球1200医疗保健指数(使用估值汇率折算)收益率*40%+中债总指数收益率*15%,9.5646亿份（截止至：2025年06月30日）,2019年12月30日,易方达全球医药行业混合型发起式证券投资基金,中国银行,易方达全球医药行业混合发起式(QDII)A(人民币),易方达基金,QDII-混合偏股,杨桢霄,2020年01月20日 / 29.738亿份,每份累计0.00元（0次）,,10.57亿元（截止至：2025年06月30日）份额规模9.5646亿份（截止至：2025年06月30日）,该基金无跟踪标的
011470（前端）基金类型股票型,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,中证新兴产业指数收益率*60%+恒生综合指数收益率*20%+中国债券综合全价指数收益率*20%,0.0856亿份（截止至：2025年06月30日）,2011年08月29日,东吴新产业精选股票型证券投资基金,建设银行,东吴新产业精选股票C,东吴基金,股票型,刘瑞,2021年02月02日 / --,每份累计0.00元（0次）,,0.26亿元（截止至：2025年06月30日）份额规模0.0856亿份（截止至：2025年06月30日）,该基金无跟踪标的
020305（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证2000指数收益率*90%+中证港股通综合指数收益率*5%+银行活期存款利率(税后)*5%,0.1323亿份（截止至：2025年06月30日）,2024年01月22日,信澳星煜智选混合型证券投资基金,邮储银行,信澳星煜智选混合A,信达澳亚基金,混合型-偏股,冯玺祥,2024年02月20日 / 2.082亿份,每份累计0.00元（0次）,,0.20亿元（截止至：2025年06月30日）份额规模0.1323亿份（截止至：2025年06月30日）,该基金无跟踪标的
015374（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.50%（每年）,中国战略新兴产业成份指数收益率*70%+恒生科技指数收益率*10%+人民币银行活期存款利率*20%,0.2129亿份（截止至：2025年06月30日）,2022年04月25日,浙商智选新兴产业混合型证券投资基金,招商银行,浙商智选新兴产业混合C,浙商基金,混合型-偏股,成子浩,2022年05月24日 / 2.630亿份,每份累计0.00元（0次）,,0.21亿元（截止至：2025年06月30日）份额规模0.2129亿份（截止至：2025年06月30日）,该基金无跟踪标的
013010（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.50%（每年）,恒生指数收益率*70%+沪深300指数收益率*10%+中证全债指数收益率*20%,4.4772亿份（截止至：2025年09月30日）,2021年12月13日,万家港股通精选混合型证券投资基金,招商银行,万家港股通精选混合C,万家基金,混合型-偏股,刘宏达,2022年01月05日 / 3.509亿份,每份累计0.00元（0次）,,5.06亿元（截止至：2025年09月30日）份额规模4.4772亿份（截止至：2025年09月30日）,该基金无跟踪标的
014914（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,沪深300指数收益率*60%+中证港股通综合指数(人民币)收益率*10%+中债综合财富(总值)指数收益率*30%,0.0586亿份（截止至：2025年06月30日）,2022年02月21日,博时研究回报混合型证券投资基金,农业银行,博时研究回报混合C,博时基金,混合型-偏股,吴鹏,2022年03月15日 / 3.612亿份,每份累计0.00元（0次）,,0.07亿元（截止至：2025年06月30日）份额规模0.0586亿份（截止至：2025年06月30日）,该基金无跟踪标的
100039（前端）、000155（后端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率×80%+中债综合指数收益率×20%,1.0072亿份（截止至：2025年06月30日）,2010年04月08日,富国通胀通缩主题轮动混合型证券投资基金,工商银行,富国通胀通缩主题轮动混合A,富国基金,混合型-偏股,曹晋,2010年05月12日 / 14.862亿份,每份累计0.05元（2次）,,4.15亿元（截止至：2025年06月30日）份额规模1.0072亿份（截止至：2025年06月30日）,该基金无跟踪标的
006864（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,---（每年）,沪深300指数收益率×65%+恒生指数收益率×10%+中债综合指数收益率×25%,3.4585亿份（截止至：2025年06月30日）,2020年11月02日,国联安核心资产策略混合型证券投资基金,工商银行,国联安核心资产策略混合,国联安基金,混合型-偏股,魏东,2020年11月18日 / 13.483亿份,每份累计0.00元（0次）,,3.23亿元（截止至：2025年06月30日）份额规模3.4585亿份（截止至：2025年06月30日）,该基金无跟踪标的
004818（前端）基金类型混合型-灵活,成功,0.10%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,0.60%（每年）,0.00%（每年）,沪深300指数收益率*60%+中证全债指数收益率*40%,0.8044亿份（截止至：2025年06月30日）,2017年10月16日,国寿安保目标策略灵活配置混合型发起式证券投资基金,广发银行,国寿安保目标策略混合发起A,国寿安保基金,混合型-灵活,张琦,2017年10月24日 / 2.420亿份,每份累计0.00元（0次）,,1.04亿元（截止至：2025年06月30日）份额规模0.8044亿份（截止至：2025年06月30日）,该基金无跟踪标的
016238（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,中证数字经济主题指数收益率*60%+中证港股通综合指数收益率*20%+中债综合全价指数收益率*20%,3.7905亿份（截止至：2025年06月30日）,2022年07月13日,华夏数字经济龙头混合型发起式证券投资基金,中国银行,华夏数字经济龙头混合发起式C,华夏基金,混合型-偏股,张景松,2022年08月05日 / 0.319亿份,每份累计0.00元（0次）,,3.99亿元（截止至：2025年06月30日）份额规模3.7905亿份（截止至：2025年06月30日）,该基金无跟踪标的
014320（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,中证全指半导体产品与设备指数收益率*70%+中证港股通综合指数收益率*10%+中证全债指数收益率*20%,17.5346亿份（截止至：2025年06月30日）,2021年12月20日,德邦半导体产业混合型发起式证券投资基金,浦发银行,德邦半导体产业混合发起式C,德邦基金,混合型-偏股,雷涛,2021年12月28日 / 0.143亿份,每份累计0.00元（0次）,,20.98亿元（截止至：2025年06月30日）份额规模17.5346亿份（截止至：2025年06月30日）,该基金无跟踪标的
004128（前端）基金类型混合型-灵活,成功,0.10%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,0.70%（每年）,0.00%（每年）,沪深300指数收益率×50%+中债综合全价指数收益率×50%,0.2462亿份（截止至：2025年06月30日）,2017年05月26日,新疆前海联合泳隆灵活配置混合型证券投资基金,宁波银行,前海联合泳隆混合A,前海联合,混合型-灵活,张磊,2017年08月29日 / 2.080亿份,每份累计0.18元（4次）,,0.25亿元（截止至：2025年06月30日）份额规模0.2462亿份（截止至：2025年06月30日）,该基金无跟踪标的
959991（前端）基金类型混合型-偏股,成功,0.20%（每年）,,---（前端）,,,0.60%（每年）,---（每年）,沪深300指数收益率*75%+上证国债指数收益率*25%,2.7773亿份（截止至：2025年06月30日）,2013年05月08日,兴证资管金麒麟领先优势一年持有期混合型证券投资基金,工商银行,兴证资管金麒麟领先优势一年持有期混合A,兴证资管,混合型-偏股,郑方镳,2020年04月13日 / --,每份累计0.00元（0次）,,3.28亿元（截止至：2025年06月30日）份额规模2.7773亿份（截止至：2025年06月30日）,该基金无跟踪标的
018911（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,中国战略新兴产业成份指数收益率*70%+中证港股通综合指数(人民币)收益率*10%+银行活期存款利率(税后)*20%,0.3031亿份（截止至：2025年06月30日）,2024年01月05日,中欧科技成长混合型证券投资基金,招商银行,中欧科技成长混合C,中欧基金,混合型-偏股,代云锋,2024年02月02日 / 2.907亿份,每份累计0.00元（0次）,,0.39亿元（截止至：2025年06月30日）份额规模0.3031亿份（截止至：2025年06月30日）,该基金无跟踪标的
